index,product_name,about_product,review_title,review_content,img_link
14,"tp-link wifi dongle <number> mbps mini wireless network usb wi-fi adapter for pc desktop laptop ,black","<number> mbps wi-fi <number> mbps wireless speed ideal for smooth hd video, voice streaming and online gamingdesign mini-sized design for convenient portability with a reliable high performancesoftap mode turn a wired internet connection to a pc or laptop into a wi-fi hotspot wps easily setup a secure wireless connection with one-touch wps buttoncompatibility supports windows <number> xp,mac os <number> and earlier, linuxinterface usb <number> in an unlikely case of product quality related issue, we may ask you to reach out to brands customer service support and seek resolution. we will require brand proof of issue to process replacement request.","works on linux for me. get the model with antenna.,does what it say but other brands available at lesser price,easy handle,great product,perfect working,speed is perfect,great design, build, connectivity range, packaging and other features but no linux support since v2,very good","i use this to connect an old pc to internet. i tried lubuntu <number> and ubuntu <number>, it worked out of the box in both, didnt have to do any setup. theres an extender cable so you can place this in a comfortable place. get the model with antenna because otherwise youll have range problems if youre not directly in line of sight from your wifi router.,the wifi dongle is a simple plug play device, will start catching available networks right after you plug it into your usb port, no additional installations softwares requires. signal strength is good.... just wonder what would be different in other adapters of lesser known brands which are available at a much more competitive pricing, hence a star less.,proseasy to use portablecan be connected to mobile hotspot and used in pc budget friendlyless installation processno heating issues good coveragebest alternative for usb tethering phones battery may get damaged for long term run with tetheringconsinternet connection speed varies at times, also depends on your modem or cellular connectionissues occur while installing via cd, which is available along with the product installation driver can be downloaded from tp-link siteneeded to reconnect the adapter every time system is turned onwill not work if your software has some issues, so encountered any just update your systemworked for mesupport center is worse, calls are unattended most of the times or just visit nearby storeconclusionbrought this <number>-ideal for users who dont need very high speed internet usage,a good alternative for usb tethering and are on budge1080 p youtube videos can be easily played with this without any interruptions,wifi connectivity is a great good result for me. however, some jitter problems did exist.,this is perfect device to connect wifi. go for it.,this wifi adopter is good working,pictures attachedsizedesign build quality packaging software speed connectivity experience warranty size and designthe best part about this is that it is very compact in size and very sober and elegant in design. this is a big plus as it is easy plug in and use, add to it the good sober design.build qualitythe build quality is undoubtedly superb. just no qualms about that, at all. when held, it doesnt give off that cheap and flimsy product-like feeling. it is good sturdy with its build quality.packagingthis part is also a big plus as the item was well cushioned and packaged with all the necessary items that ensured that no damage could have been caused to the product during transportation. this ensures that i as a customer have received something not damaged internally already.softwarethis is actually good but not great part with the product.the good part is that a cd has been provided with it along with a manual.the not great part is that no linux support has been given from version <number> onwards. this is bad, really.speedit easily supports net speeds upto <number> mbps. practically speaking, i have tested it at my home and it easily supports net speed of over <number>-<number> mbps without a sigh.on testing i found that it did connect to <number> ghz network, without any issue.connectivityplease mark its not feet its metres. multiply metres x <number> to get the distance in feet.it easily connects to my laptop or phone from <number> metres across one room. so thats <number> feet. i mean even our old bluetooth used to connect to about <number> ft.so <number>-<number> feet is not at all an issue with this. this is the big plus i found with the product.experiencefrom this point of view, so far except the linux non-compatibility issue, i found no other flaws with this product.so overall its a great product.warrantyits <number> years so i am assured that atleast for <number> years i am tension-free and not just <number> year, contrary to most electronic items today that only provide <number> year warranty with their items.,best adapter i have bought ever. works nicely seemless connectivity",https://m.media-amazon.com/images/I/41jxZkzNcnL._SX300_SY300_QL70_FMwebp_.jpg
16,"samsung original type c to c cable - <number> feet , white",usb type-c to type-c cable with universal compatibility1 m length reversible designhigh speed datacharging with usb <number>,"good,genuine product,not first charge this cabil,nice cable but known durability,got a used type c to c cable and the xable was damaged,the product is genuine and good,abdul kadir,good","buy it,received in good condition and is working properly,this price cabil not good, and also short,i am using from <number> months and charging the phone in good way and its really value for money.. i recommend this cable.,httpsm.media-amazon.comimagesi71 cei3 gbll.sy88.jpg,the cable is perfect for <number> a charging devices . support super fast charging and can be used in vehicle chargers and adapters. sturdy and durable for daily use,best cable i have ever used by amazon .worth it . guys just take it,good quality.but over priced",https://m.media-amazon.com/images/I/11ICusapw3L._SY300_SX300_QL70_FMwebp_.jpg
23,"bajaj dx-<number> <number> w dry iron with advance soleplate and anti-bacterial german coating technology, white","non-stick coated golden color sole platesuper clean finish with pleasant aestheticscool touch body with comfortable hand griplight weight and <number> degree swivel cord, material - plasticthermal fuse for safetywarranty <number> years on productpower <number> watts","nice iron box. temperature control can be better.,product quality,very nice product,great product,it is gud for normal use...,okk,its good,nice product","nice one, i am used to phillips for so long now, but the plate coating was gone, causing damage, stains on clothes. so checked and went ahead with bajaj did to its reviews and brand value. i would say decent product, easy to use only thing is temperature control could be little better compared to phillips and pressing needs more weight to be applied compared to phillips.,it very good product and reliability. almost iam using more than <number> months,nice product,i am happy with this great quality product,gud in budget,product is good but price is much greater,its good..,nice product",https://m.media-amazon.com/images/I/31DA6bcvbfL._SY300_SX300_QL70_FMwebp_.jpg
24,"prestige prwo <number>-<number>-watts delight electric rice cooker with <number> aluminium cooking pans - <number> liters, white","content prestige delight electric rice cooker <number> open type with aluminium cooking pan-<number> unet quantity <number> unit.voltage <number> vvoltage <number> v wattage <number> wwarranty <number> yeartroubleshooting guidelines do not wash the main body of cooker or immerse it in water. its electrical insulation may get damaged. read user manual carefully before usecapacity - cooks upto <number> g of raw ricegreat features - stainless steel close fit lid with keep warm mode, <number> year warranty on the heating plate, detachable power cord","totally simple and good product,good,normal,rice cooker is good,excellent product,gud product,power,good product","we are using it for cooking rice,its getting repair regularly,recently i buy new rice cooker it is average,excellent product,very good product,power adapter is not working pins are gone wrong. remaking all are good,like",https://m.media-amazon.com/images/I/41f4XKOolpL._SX300_SY300_QL70_FMwebp_.jpg
25,"prestige psmfb <number> watt sandwich toaster with fixed plates, black",content prestige sandwich toaster with fixed sandwich platevoltage <number> v wattage <number> w capacity <number> slicesweight <number> kg.,"no power butten to on and off.,nothing,product is ok-ok,its auto close green light is not working.,good but cord length is short. must be atleast <number> fts,nice to use,good,good product","easy to use, easy to clean, there is no timer or power button to set timer or to on and off the toaster. its a good product otherwise.,yes , sandwich ,quality is not so good. the finishing is also not proper. first i got product where lot of scratches were there on the insulating plates and finishing was bad.later, got the replacement but still the finishing was vague.product is also very light which is good but not sure about the build quality inside.make sure you read the replacement and return thing. else you may end up having this product even if you wish to return.overall ok ok product,when auto close system doesnt work than there is no use of this product. please do the needful and next time whenever you send it please check the product. otherwise you will loose your dignity.,like the toster,good must buy,good,nice product",https://m.media-amazon.com/images/I/4108k4zDdOL._SY300_SX300_QL70_FMwebp_.jpg
27,"hp wired on ear headphones with mic with <number> mm drivers, in-built noise cancelling, foldable and adjustable for laptoppcofficehome <number> year warranty","powerful bass and clear treble soundswired connectivityideal for long hours of listeningsuperior sound quality and lengthy cable for easy of usecompact and durablethe smart integrated in-cord remote facilitates easy audio control optionsadditional features <number> mm drivers, gold plated connectors, volumemute control.","headset,overall a good product. sound quality and mic quality is quite satisfactory,an ordinary headphone, though its from hp,hp headphone,sound quality is good.,its okay,it is good product,issuebin incomming voice","not a perfect fit for long usage,one problem you may face if you use it continuously for a long time may be ear ache can be start..,although its an hp product theres nothing to write home about this headphone. it does what it is promised and theres value for money as you can trust the brand but dont expect anything extra. no volume control or onoff button, comfortable to wear but not designed for comfort, clear sound, and a mic but no advanced features for either. yet its good for the price!,product would not meet my expectation and sound quality is poor.,sound quality is good , cancels the background noise.,not a bad deal,build quality and sound quality was good,base and noise cancelling is also good ,i bought it in october month but now is not wprking properly",https://m.media-amazon.com/images/I/31eE6slx4EL._SX300_SY300_QL70_FMwebp_.jpg
28,"bajaj dhx-<number> <number> w heavy weight dry iron with advance soleplate and anti-bacterial german coating technology, ivory",heavy weight iron for easy ironing. safety plus thermal fusedeluxe metal cover. super clean surface finish with pleasant aestheticsmultiple temprature levelsnon-stick coated sole platetemprature setting dialthermostatic pilot lampwarranty <number> years on product,"good one,punchuality,good product,good quality,perfect for use,good","good product. weight is reduced a bit,damage product deliveredtwo times,works fine even after <number> months as of now going good,fine good to use,perfect for use,good",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/411ZPXAMTlL._SY300_SX300_QL70_FMwebp_.jpg
34,"hp x1000 wired usb mouse with <number> handy buttons, fast-moving scroll wheel and optical sensor works on most surfaces",<number> buttons improve productivityoptical sensor works on most surfacesthe sleek and modern hp mouse x1000 adds an instant touch of trend-setting style to any work space .glossy black and metallic gray shine with sophistication3 years manufacturer warranty on the device from the date of purchaseoperating system windows xpstyle name <number> dpi,"decent mouse from trusted brand,value for money,good,average mouse.,good,cute,its a good mouse for normal usage... loved it.,hp x1000 wired usb mouse","the mouse is decent for its price of <number> i dont usually use windows im using this on my linux os and its works fine on arch linux so im sure it will work fine on any debian-based distro as well.first impression - the size is a bit smaller so it will take time to get used to it the scroll wheel is little wobbly buttons travel of the button is bit too much considering its small form factori will update my review after using it,i have been searching for this kind of small mouse which is very handy to use. value for money.,just good as in this price range,this is nice product in low cost.,given price, better one definitely.,little one,overall good product,its easy to use.",https://m.media-amazon.com/images/I/31plkeAvAQL._SX300_SY300_QL70_FMwebp_.jpg
37,orpat hhb-<number> e wob <number>-watt hand blender,"this product does not require installation. please contact brand customer care for any product related queires. customer service number <number>-<number>-<number> <number>-<number> unique comfort grip, the frequency is <number> hz, functions beating. pureeing yeseasy to store and wash and it has stainless steel bladea handy appliance which will reduce the time you spend in the kitchen by taking care of all your chopping, blending or mixing tasks at the touch of a buttonsmooth and safe switch, sleek strongelegant design18000 rpm","nice product but little bit costly,is good,value for money,ok,good product,nice product,we can use it for every work like chatni, shake, blending, etc so you must try it.,using it since <number>","speed is gud nd easy to handle,very useful,quality is okay for this price.,ok,good product,nice product,is is easy to use and we can use it for everything.it is orerall great ,i bought it in <number>, using it everyday. i havent faced any problem or a simple glitch all these years. if it is still in market, i would highly recommend.",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/21OWOIM1wML._SX300_SY300_QL70_FMwebp_.jpg
38,"bajaj immersion rod water heater <number> watts, silver","no installation is requiredproduct dimensions <number> cmstype rod , power requirement <number> - <number> v, <number> - <number> hz , low cost water heatinganti-corrosive material low cost water heating consumes less energy heating element type hairpin tubular elementwarranty <number> years on product","warranty,plug is not supporting,good product,great,product is good,you can go for it but...... read review,fabulous,good","shape are getting change day by day..i think it will be lasting for <number> yr.,the plug is not supported in the sockets which is used in our houses. need to buy another socket of <number> amp to make this product usable. otherwise it will be of no use.,nice product. it warm the <number> bucket water in <number> m.,branded and good quality,i have used this product twice since the purchase and its good. the cord length can be increased more,so that it will be easy to use. the water is getting heated in a short span of time. there is a minimum and maximum marking on the heater and the heater should be immersed inside the water till the minimum markings compulsaryly.. so if u are going to heat a half bucket of water it wont be used.,product is good, wire lenth and cord lenth are enoughsuper easy to use but packing shi se ki hui nhi hoti4 star for good product but removed <number> star for bad packing,nice one,good",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31Q16tE2voL._SX300_SY300_QL70_FMwebp_.jpg
39,"casio fx-<number> ms <number> nd gen non-programmable scientific calculator, <number> functions and <number>-line display, black","<number> nd edition comes with same features and new sleek design with curved edges which makes it compact and easy to carrytrigonometrical, logarithmic, permutation, combination and many other mathematical functionscolour coded keypad for easy key differentiationdrop resistant body with water resistant printing on keysworks on one aaa pencil batterycomes with slide-on hard case3 years all india manufacturer warranty","not bad,good for engineers.,good,its great !,good,200,good,superb quality","good,i use this to solve my numericals and its good.,excellent tool for kids in learning,a quality product,good product,product is amazing and less weight good use of it and u can go for it,good,httpsm.media-amazon.comimagesi61 uctvlmijl.sy88.jpg",https://m.media-amazon.com/images/I/41LcHKyVl9L._SX300_SY300_QL70_FMwebp_.jpg
40,"hul pureit germkill kit for advanced <number> l water purifier - <number> l capacity, sand, multicolour","compatible only for pureit advanced <number> l water purifiergermkill kit gkk capacity - <number> litersthe germkill kit gkk contains <number> parts - microfiber filter, germkill processor and carbon polishermicrofiber filter - removes visible impurities like dust, dirt, sand, etc.germkill processor - uses programmed germkill technology to remove invisible harmful viruses bacteriacarbon polisher - removes chlorine, odor, along with other impurities to purify water and improve its tastefor gkk replacement instructions, refer to the user manual pdf in product guides documents section","its very nice,got the correct one, asked,good product,very good item,awesome,good,ok,delivered on time","ok,for replacing battery of purit <number> advanced water purifier. got what i required.,good,very good,i like it,been using it since <number> years,ok,nice product",https://m.media-amazon.com/images/I/51G5KRUKOgL._SX300_SY300_QL70_FMwebp_.jpg
41,wipro smartlife super deluxe dry iron- <number> w,"scratch resistant sole plateadjustable thermostat controlsteflon non-stick coatingeasy glide reaches into hard to reach areassmoothest coating dupontsmoothest coating dunpont teflon non-stick coating auto off pilot lightwarranty <number> years on productpower <number> wattsincludes electric iron, instruction manual and warranty cardmaterial type aluminium","it s very nice and easy to use,good quality...go and purchase,good,good quality,good product ,good,value for money <number>,good","its light weight easy to use but is not worth for the value,very good product,good,very good quality,easy to to use,good and very happy with this product,value for money <number>,easy to use",https://m.media-amazon.com/images/I/319pDZDL+sL._SY300_SX300_.jpg
42,"envie aa rechargeable batteries, low self discharge, aa <number> mah ni-cd","functional design international standard universally compatible <number> pcs of rechargeable ni-cd batteries. batteries needs to be charged before first usecapacitybest in industry <number> mah capacity batteries with no memory effect so they can be charged or discharged as needed without loss of capacitydischarge batteries are equipped with low self discharge mechanism to hold charge upto <number> for <number> months without usecompatibility envie aa batteries are compatible with numerous devices including remote controls, electronic toys, flashlights, torches and various other devices. batteries also support quick charge mechanism which can be done via any smart or quick chargerenvironment friendlyenvie batteries provide you a safe and stable highy protected environment friendly energy solution","not good for regular use,pathetic battery back up,good,does as it should,very pathetic battery - never buy,worth buy,good, but <number> v please check when buying","<number> <number> ,charging does not last for more than <number> days with out use after full recharge,battery does not last even one week even in wall clocks,charger is not good because no idicate light after battery fully charge,get higher wattage..... <number> too less and required constant charging.,not even last for <number>-<number> month in wall clock . battery leakage is another problempls dont buy and waste money instead go for good mah and good brands,i have tried changing once only its ok,1.2 v please check when buying",https://m.media-amazon.com/images/I/41tcZ6fcJML._SX300_SY300_QL70_FMwebp_.jpg
